Sample,Time_us,Raw_u16,Voltage_V
854,854011,47643,2.399052
855,855015,36152,1.820426
856,856011,23557,1.186207
857,857008,14643,0.737345
858,858014,12819,0.645498
859,859011,18788,0.946065
860,860015,30279,1.524692
861,861011,42794,2.154882
862,862015,51836,2.610190
863,863011,53597,2.698865
864,864008,47659,2.399858
865,865013,36168,1.821231
866,866011,23525,1.184596
867,867009,14755,0.742985
868,868013,12835,0.646303
869,869009,18676,0.940426
870,870013,30199,1.520664
871,871009,42778,2.154076
872,872013,51788,2.607773
873,873012,53581,2.698059
874,874011,47611,2.397441
875,875014,36152,1.820426
876,876011,23573,1.187013
877,877015,14675,0.738956
878,878011,12819,0.645498
879,879008,18772,0.945260
880,880012,30263,1.523886
881,881009,42682,2.149242
882,882014,51772,2.606967
883,883010,53421,2.690002
884,884014,47595,2.396635
885,885011,36216,1.823648
886,886015,23509,1.183790
887,887011,14643,0.737345
888,888015,12803,0.644692
889,889014,18788,0.946065
890,890011,30199,1.520664
891,891008,42810,2.155688
892,892012,51740,2.605356
893,893008,53597,2.698865
894,894012,47579,2.395830
895,895009,36232,1.824454
896,896013,23605,1.188624
897,897011,14659,0.738151
898,898009,12819,0.645498
899,899013,18740,0.943648
900,900009,30199,1.520664
901,901013,42874,2.158910
902,902009,51708,2.603744
903,903013,53581,2.698059
904,904010,47675,2.400664
905,905009,36168,1.821231
906,906015,23493,1.182985
907,907011,14899,0.750236
908,908008,12867,0.647915
909,909012,18740,0.943648
910,910008,30151,1.518247
911,911012,42858,2.158105
912,912009,51740,2.605356
913,913008,53533,2.695642
914,914013,47627,2.398247
915,915009,36184,1.822037
916,916013,23589,1.187819
917,917009,14723,0.741373
918,918013,12771,0.643081
919,919010,18740,0.943648
920,920014,30199,1.520664
921,921012,42858,2.158105
922,922009,51468,2.591659
923,923013,53629,2.700476
924,924009,47691,2.401470
925,925013,36168,1.821231
926,926010,23589,1.187819
927,927014,14675,0.738956
928,928010,12819,0.645498
929,929009,18692,0.941231
930,930008,30167,1.519052
931,931012,42826,2.156494
932,932008,51740,2.605356
933,933012,53549,2.696448
934,934009,47659,2.399858
935,935013,36200,1.822843
936,936009,23621,1.189430
937,937010,14675,0.738956
938,938015,12819,0.645498
939,939011,18740,0.943648
940,940015,30279,1.524692
941,941011,42810,2.155688
942,942008,51724,2.604550
943,943012,53597,2.698865
944,944008,47659,2.399858
945,945009,36216,1.823648
946,946014,23509,1.183790
947,947010,14675,0.738956
948,948014,12835,0.646303
949,949010,18692,0.941231
950,950014,30247,1.523081
951,951011,42810,2.155688
952,952015,51788,2.607773
953,953015,53597,2.698865
954,954012,47627,2.398247
955,955009,36232,1.824454
956,956013,23589,1.187819
957,957009,14675,0.738956
958,958013,12867,0.647915
959,959009,18788,0.946065
960,960013,30231,1.522275
961,961014,42826,2.156494
962,962011,51788,2.607773
963,963015,53613,2.699670
964,964011,47643,2.399052
965,965008,36280,1.826871
966,966012,23621,1.189430
967,967008,14563,0.733317
968,968012,12819,0.645498
969,969013,18772,0.945260
970,970013,30263,1.523886
971,971009,42826,2.156494
972,972013,51788,2.607773
973,973010,53645,2.701282
974,974014,47611,2.397441
975,975010,36232,1.824454
976,976014,23573,1.187013
977,977015,14531,0.731705
978,978015,12835,0.646303
979,979011,18820,0.947677
980,980015,30263,1.523886
981,981012,42762,2.153271
982,982008,51756,2.606162
983,983012,53549,2.696448
984,984008,47691,2.401470
985,985011,36168,1.821231
986,986009,23589,1.187819
987,987015,14675,0.738956
988,988011,12835,0.646303
989,989008,18820,0.947677
990,990012,30215,1.521469
991,991008,42794,2.154882
992,992012,51724,2.604550
993,993015,53549,2.696448
994,994012,47627,2.398247
995,995009,36200,1.822843
996,996013,23589,1.187819
997,997009,14675,0.738956
998,998013,12803,0.644692
999,999010,18692,0.941231
1000,1000014,30215,1.521469
1001,1001009,42794,2.154882
1002,1002014,51740,2.605356
1003,1003010,53597,2.698865
1004,1004014,47627,2.398247
1005,1005011,36184,1.822037
1006,1006015,23493,1.182985
1007,1007011,14659,0.738151
1008,1008015,12835,0.646303
1009,1009010,18740,0.943648
1010,1010015,30263,1.523886
1011,1011011,42826,2.156494
1012,1012015,51756,2.606162
1013,1013012,53517,2.694836
1014,1014008,47723,2.403081
1015,1015012,36264,1.826065
1016,1016008,23637,1.190236
1017,1017012,14675,0.738956
1018,1018010,12819,0.645498
1019,1019014,18788,0.946065
1020,1020010,30199,1.520664
1021,1021014,42826,2.156494
1022,1022011,51708,2.603744
1023,1023015,53597,2.698865
1024,1024011,47627,2.398247
1025,1025014,36152,1.820426
1026,1026012,23573,1.187013
1027,1027008,14691,0.739762
1028,1028012,12851,0.647109
1029,1029008,18724,0.942843
1030,1030012,30295,1.525498
1031,1031009,42810,2.155688
1032,1032013,51724,2.604550
1033,1033015,53613,2.699670
1034,1034014,47595,2.396635
1035,1035010,36232,1.824454
1036,1036014,23541,1.185402
1037,1037011,14659,0.738151
1038,1038015,12851,0.647109
1039,1039011,18788,0.946065
1040,1040008,30151,1.518247
1041,1041009,42858,2.158105
1042,1042014,51756,2.606162
1043,1043011,53709,2.704504
1044,1044015,47611,2.397441
1045,1045011,36120,1.818814
1046,1046008,23605,1.188624
1047,1047012,14723,0.741373
1048,1048008,12851,0.647109
1049,1049012,18820,0.947677
1050,1050011,30215,1.521469
1051,1051008,42858,2.158105
1052,1052012,51740,2.605356
1053,1053009,53565,2.697253
1054,1054013,47595,2.396635
1055,1055009,36232,1.824454
1056,1056013,23621,1.189430
